united_states,year,no_of_crime_movies,no_of_violent_crimes,us_population,crime_movies_per_100000,violent_crime_per_100000
TRUE,1985,13,1327853.844,237924000,0.005463929658,558.1
TRUE,1986,24,1489064.733,240133000,0.009994461403,620.1
TRUE,1987,23,1484020.125,242289000,0.009492795793,612.5
TRUE,1988,19,1566260.594,244499000,0.007770992928,640.6
TRUE,1989,21,1646035.911,246819000,0.008508259089,666.9
TRUE,1990,18,1821249.408,249623000,0.007210873998,729.6
TRUE,1991,19,1918101.942,252981000,0.007510445448,758.2
TRUE,1992,17,1943606.578,256514000,0.006627318587,757.7
TRUE,1993,20,1941854.849,259919000,0.007694704889,747.1
TRUE,1994,21,1877667.136,263126000,0.007980967293,713.6
TRUE,1995,28,1822672.91,266278000,0.01051532609,684.5
TRUE,1996,22,1714962.204,269394000,0.008166477353,636.6
TRUE,1997,27,1665934.27,272657000,0.009902551557,611
TRUE,1998,21,1565747.304,275854000,0.007612722672,567.6
TRUE,1999,17,1459379.2,279040000,0.006092316514,523
TRUE,2000,17,1429152.612,282162411,0.006024898901,506.5
TRUE,2001,21,1437668.378,284968955,0.007369223781,504.5
TRUE,2002,29,1422018.954,287625193,0.01008256603,494.4
TRUE,2003,17,1380333.545,290107933,0.005859888016,475.8
TRUE,2004,15,1356274.14,292805298,0.005122858125,463.2
TRUE,2005,18,1385972.849,295516599,0.00609102841,469
TRUE,2006,25,1430134.918,298379912,0.008378580124,479.3
TRUE,2007,39,1421208.835,301231207,0.01294686576,471.8
TRUE,2008,32,1394574.928,304093966,0.01052306312,458.6
TRUE,2009,35,1324946.234,306771529,0.01140914221,431.9
TRUE,2010,25,1251228.293,309327143,0.008082058289,404.5
TRUE,2011,27,1206139.655,311583481,0.008665414454,387.1
TRUE,2012,28,1217217.573,313877662,0.008920673049,387.8
TRUE,2013,33,1166577.264,316059947,0.01044105725,369.1
TRUE,2014,31,1151284.966,318386329,0.009736598961,361.6
TRUE,2015,29,1198601.621,320738994,0.009041619679,373.7
TRUE,2016,32,1284210.226,323071755,0.009904920348,397.5
TRUE,2017,18,1283907.283,325122128,0.005536381086,394.9
